timestamp,volume
2023-11-22 00:00:00,25879565149.622414
2023-11-23 00:00:00,34566993355.14726
2023-11-24 00:00:00,16375599262.132328
2023-11-25 00:00:00,31373259777.86658
2023-11-26 00:00:00,10241465985.637838
2023-11-27 00:00:00,13943620584.84295
2023-11-28 00:00:00,24468413727.57134
2023-11-29 00:00:00,26751026705.028355
2023-11-30 00:00:00,28489244578.849735
2023-12-01 00:00:00,22460565081.597904
2023-12-02 00:00:00,33033514430.802124
2023-12-03 00:00:00,20104020143.926464
2023-12-04 00:00:00,19024355066.87596
2023-12-05 00:00:00,54537607227.74708
2023-12-06 00:00:00,51295807309.05813
2023-12-07 00:00:00,41197327940.64063
2023-12-08 00:00:00,37688136014.39889
2023-12-09 00:00:00,33612187164.553032
2023-12-10 00:00:00,23209852519.687447
