timestamp,fear_greed
2023-08-04,54
2023-08-03,52
2023-08-02,53
2023-08-01,53
2023-07-31,50
2023-07-30,52
2023-07-29,52
2023-07-28,52
2023-07-27,51
2023-07-26,51
2023-07-25,50
2023-07-24,55
2023-07-23,54
2023-07-22,52
2023-07-21,50
2023-07-20,56
2023-07-19,50
2023-07-18,56
2023-07-17,54
2023-07-16,57
2023-07-15,56
2023-07-14,60
2023-07-13,57
2023-07-12,64
2023-07-11,57
2023-07-10,56
2023-07-09,55
2023-07-08,58
2023-07-07,55
2023-07-06,56
2023-07-05,61
2023-07-04,64
2023-07-03,62
2023-07-02,63
2023-07-01,59
2023-06-30,56
2023-06-29,54
2023-06-28,62
2023-06-27,59
2023-06-26,55
2023-06-25,64
2023-06-24,62
2023-06-23,65
2023-06-22,65
2023-06-21,59
2023-06-20,49
2023-06-19,47
2023-06-18,49
2023-06-17,47
2023-06-16,47
2023-06-15,41
2023-06-14,46
2023-06-13,45
2023-06-12,47
2023-06-11,47
2023-06-10,49
2023-06-09,50
2023-06-08,50
2023-06-07,53
2023-06-06,44
2023-06-05,53
2023-06-04,52
2023-06-03,53
2023-06-02,50
2023-06-01,52
2023-05-31,51
2023-05-30,51
2023-05-29,52
2023-05-28,50
2023-05-27,48
2023-05-26,49
2023-05-25,51
2023-05-24,50
2023-05-23,50
2023-05-22,49
2023-05-21,52
2023-05-20,48
2023-05-19,48
2023-05-18,51
2023-05-17,50
2023-05-16,54
2023-05-15,50
2023-05-14,48
2023-05-13,48
2023-05-12,49
2023-05-11,52
2023-05-10,52
2023-05-09,51
2023-05-08,60
2023-05-07,64
2023-05-06,60
2023-05-05,61
2023-05-04,64
2023-05-03,64
2023-05-02,55
2023-05-01,63
2023-04-30,60
2023-04-29,64
2023-04-28,64
2023-04-27,59
2023-04-26,56
2023-04-25,53
2023-04-24,53
2023-04-23,56
2023-04-22,53
2023-04-21,50
2023-04-20,52
2023-04-19,63
2023-04-18,58
2023-04-17,69
2023-04-16,68
2023-04-15,68
2023-04-14,68
2023-04-13,61
2023-04-12,65
2023-04-11,68
2023-04-10,62
2023-04-09,61
2023-04-08,61
2023-04-07,64
2023-04-06,63
2023-04-05,62
2023-04-04,62
2023-04-03,63
2023-04-02,63
2023-04-01,61
2023-03-31,63
2023-03-30,60
2023-03-29,57
2023-03-28,59
2023-03-27,64
2023-03-26,64
2023-03-25,64
2023-03-24,61
2023-03-23,57
2023-03-22,62
2023-03-21,68
2023-03-20,66
2023-03-19,63
2023-03-18,64
2023-03-17,51
2023-03-16,52
2023-03-15,50
2023-03-14,56
2023-03-13,49
2023-03-12,33
2023-03-11,33
2023-03-10,34
2023-03-09,44
2023-03-08,50
2023-03-07,49
2023-03-06,48
2023-03-05,47
2023-03-04,50
2023-03-03,50
2023-03-02,51
2023-03-01,50
2023-02-28,53
2023-02-27,50
2023-02-26,51
2023-02-25,52
2023-02-24,53
2023-02-23,56
2023-02-22,59
2023-02-21,60
2023-02-20,58
2023-02-19,60
2023-02-18,60
2023-02-17,61
2023-02-16,62
2023-02-15,53
2023-02-14,50
2023-02-13,48
2023-02-12,50
2023-02-11,49
2023-02-10,48
2023-02-09,55
2023-02-08,58
2023-02-07,54
2023-02-06,56
2023-02-05,58
2023-02-04,58
2023-02-03,60
2023-02-02,60
2023-02-01,56
2023-01-31,51
2023-01-30,61
2023-01-29,55
2023-01-28,52
2023-01-27,55
2023-01-26,54
2023-01-25,51
2023-01-24,52
2023-01-23,50
2023-01-22,53
2023-01-21,53
2023-01-20,51
2023-01-19,45
2023-01-18,52
2023-01-17,51
2023-01-16,45
2023-01-15,52
2023-01-14,46
2023-01-13,31
2023-01-12,30
2023-01-11,26
2023-01-10,26
2023-01-09,25
2023-01-08,25
2023-01-07,25
2023-01-06,26
2023-01-05,29
2023-01-04,29
2023-01-03,26
2023-01-02,27
2023-01-01,26
2022-12-31,25
2022-12-30,28
2022-12-29,28
2022-12-28,28
2022-12-27,27
2022-12-26,28
2022-12-25,29
2022-12-24,29
2022-12-23,27
2022-12-22,28
2022-12-21,26
2022-12-20,29
2022-12-19,29
2022-12-18,26
2022-12-17,28
2022-12-16,29
2022-12-15,31
2022-12-14,30
2022-12-13,27
2022-12-12,27
2022-12-11,26
2022-12-10,27
2022-12-09,26
2022-12-08,25
2022-12-07,29
2022-12-06,25
2022-12-05,26
2022-12-04,26
2022-12-03,27
2022-12-02,27
2022-12-01,27
2022-11-30,29
2022-11-29,26
2022-11-28,28
2022-11-27,26
2022-11-26,22
2022-11-25,20
2022-11-24,20
2022-11-23,22
2022-11-22,22
2022-11-21,21
2022-11-20,24
2022-11-19,23
2022-11-18,23
2022-11-17,20
2022-11-16,23
2022-11-15,22
2022-11-14,24
2022-11-13,22
2022-11-12,21
2022-11-11,25
2022-11-10,22
2022-11-09,29
2022-11-08,31
2022-11-07,33
2022-11-06,40
2022-11-05,38
2022-11-04,30
2022-11-03,30
2022-11-02,30
2022-11-01,30
2022-10-31,31
2022-10-30,34
2022-10-29,34
2022-10-28,30
2022-10-27,32
2022-10-26,33
2022-10-25,20
2022-10-24,22
2022-10-23,23
2022-10-22,20
2022-10-21,23
2022-10-20,23
2022-10-19,23
2022-10-18,22
2022-10-17,20
2022-10-16,24
2022-10-15,24
2022-10-14,24
2022-10-13,20
2022-10-12,20
2022-10-11,24
2022-10-10,22
2022-10-09,22
2022-10-08,24
2022-10-07,23
2022-10-06,26
2022-10-05,25
2022-10-04,20
2022-10-03,24
2022-10-02,24
2022-10-01,20
2022-09-30,21
2022-09-29,22
2022-09-28,20
2022-09-27,20
2022-09-26,21
2022-09-25,24
2022-09-24,24
2022-09-23,20
2022-09-22,22
2022-09-21,23
2022-09-20,23
2022-09-19,21
2022-09-18,27
2022-09-17,22
2022-09-16,20
2022-09-15,28
2022-09-14,27
2022-09-13,34
2022-09-12,25
2022-09-11,26
2022-09-10,28
2022-09-09,22
2022-09-08,20
2022-09-07,24
2022-09-06,22
2022-09-05,23
2022-09-04,20
2022-09-03,21
2022-09-02,25
2022-09-01,20
2022-08-31,23
2022-08-30,27
2022-08-29,24
2022-08-28,28
2022-08-27,28
2022-08-26,27
2022-08-25,25
2022-08-24,25
2022-08-23,28
2022-08-22,29
2022-08-21,27
2022-08-20,29
2022-08-19,33
2022-08-18,30
2022-08-17,41
2022-08-16,44
2022-08-15,45
2022-08-14,47
2022-08-13,46
2022-08-12,42
2022-08-11,41
2022-08-10,31
2022-08-09,42
2022-08-08,30
2022-08-07,30
2022-08-06,31
2022-08-05,31
2022-08-04,30
2022-08-03,34
2022-08-02,31
2022-08-01,33
2022-07-31,39
2022-07-30,42
2022-07-29,39
2022-07-28,32
2022-07-27,28
2022-07-26,26
2022-07-25,30
2022-07-24,30
2022-07-23,31
2022-07-22,33
2022-07-21,34
2022-07-20,31
2022-07-19,30
2022-07-18,20
2022-07-17,24
2022-07-16,21
2022-07-15,15
2022-07-14,18
2022-07-13,15
2022-07-12,16
2022-07-11,22
2022-07-10,24
2022-07-09,24
2022-07-08,20
2022-07-07,18
2022-07-06,18
2022-07-05,19
2022-07-04,14
2022-07-03,11
2022-07-02,14
2022-07-01,11
2022-06-30,11
2022-06-29,13
2022-06-28,10
2022-06-27,12
2022-06-26,14
2022-06-25,14
2022-06-24,11
2022-06-23,11
2022-06-22,11
2022-06-21,9
2022-06-20,9
2022-06-19,6
2022-06-18,6
2022-06-17,9
2022-06-16,7
2022-06-15,7
2022-06-14,8
2022-06-13,11
2022-06-12,14
2022-06-11,12
2022-06-10,13
2022-06-09,11
2022-06-08,17
2022-06-07,15
2022-06-06,13
2022-06-05,10
2022-06-04,14
2022-06-03,10
2022-06-02,13
2022-06-01,17
2022-05-31,16
2022-05-30,10
2022-05-29,14
2022-05-28,13
2022-05-27,12
2022-05-26,12
2022-05-25,11
2022-05-24,12
2022-05-23,10
2022-05-22,14
2022-05-21,13
2022-05-20,13
2022-05-19,13
2022-05-18,12
2022-05-17,8
2022-05-16,14
2022-05-15,10
2022-05-14,9
2022-05-13,10
2022-05-12,12
2022-05-11,12
2022-05-10,10
2022-05-09,11
2022-05-08,18
2022-05-07,23
2022-05-06,22
